股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
000002,万  科Ａ,2024-01-02,10.44,10.15,10.48,10.15,811106,830765500.05,3.15,-2.96,-0.31,0.83
000002,万  科Ａ,2024-01-03,10.15,10.13,10.23,10.04,610921,618688241.1,1.87,-0.2,-0.02,0.63
000002,万  科Ａ,2024-01-04,10.1,9.93,10.11,9.89,851919,847124418.41,2.17,-1.97,-0.2,0.88
000002,万  科Ａ,2024-01-05,9.92,9.99,10.13,9.88,739604,741466025.62,2.52,0.6,0.06,0.76
000002,万  科Ａ,2024-01-08,10.03,9.82,10.11,9.81,658007,652931689.94,3.0,-1.7,-0.17,0.68
000002,万  科Ａ,2024-01-09,9.83,9.88,9.98,9.73,530900,523365686.4,2.55,0.61,0.06,0.55
000002,万  科Ａ,2024-01-10,9.85,9.74,9.88,9.72,608315,595513419.43,1.62,-1.42,-0.14,0.63
000002,万  科Ａ,2024-01-11,9.73,9.76,9.81,9.62,731623,710953208.92,1.95,0.21,0.02,0.75
000002,万  科Ａ,2024-01-12,9.7,9.7,9.87,9.66,718737,701754669.62,2.15,-0.61,-0.06,0.74
000002,万  科Ａ,2024-01-15,9.62,9.71,9.78,9.44,785606,756259321.45,3.51,0.1,0.01,0.81
000002,万  科Ａ,2024-01-16,9.67,9.61,9.7,9.48,659467,632545914.96,2.27,-1.03,-0.1,0.68
000002,万  科Ａ,2024-01-17,9.57,9.34,9.57,9.31,795634,748619571.8,2.71,-2.81,-0.27,0.82
000002,万  科Ａ,2024-01-18,9.29,9.4,9.41,9.13,893507,828888216.74,3.0,0.64,0.06,0.92
000002,万  科Ａ,2024-01-19,9.31,9.41,9.45,9.27,609297,572149471.85,1.91,0.11,0.01,0.63
000002,万  科Ａ,2024-01-22,9.27,9.05,9.3,9.0,937345,859889046.24,3.19,-3.83,-0.36,0.96
000002,万  科Ａ,2024-01-23,9.0,9.18,9.21,8.93,781749,711069914.51,3.09,1.44,0.13,0.8
000002,万  科Ａ,2024-01-24,9.23,9.41,9.44,9.1,844242,784494949.95,3.7,2.51,0.23,0.87
000002,万  科Ａ,2024-01-25,9.46,9.96,9.97,9.42,1512856,1473854620.67,5.84,5.84,0.55,1.56
000002,万  科Ａ,2024-01-26,9.95,10.2,10.35,9.9,1621424,1649473060.22,4.52,2.41,0.24,1.67
000002,万  科Ａ,2024-01-29,10.41,10.06,10.45,10.06,1145297,1167014934.16,3.82,-1.37,-0.14,1.18
000002,万  科Ａ,2024-01-30,10.0,9.79,10.05,9.79,797927,790365419.25,2.58,-2.68,-0.27,0.82
000002,万  科Ａ,2024-01-31,9.77,9.6,9.85,9.56,674789,652727449.23,2.96,-1.94,-0.19,0.69
000002,万  科Ａ,2024-02-01,9.53,9.44,9.66,9.42,627860,598048552.42,2.5,-1.67,-0.16,0.65
000002,万  科Ａ,2024-02-02,9.45,9.49,9.83,9.17,912154,869058341.64,6.99,0.53,0.05,0.94
000002,万  科Ａ,2024-02-05,9.38,9.18,9.44,9.03,1005139,928648159.37,4.32,-3.27,-0.31,1.03
000002,万  科Ａ,2024-02-06,9.15,9.51,9.56,9.08,1080198,1009332263.56,5.23,3.59,0.33,1.11
